2026/03/22 15:12:28 [error] 25688#444: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "DELETE /api/depts?id=3 HTTP/1.1", upstream: "http://127.0.0.1:8080/depts?id=3", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:34 [error] 25688#444: *32 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:34 [error] 25688#444: *32 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:34 [error] 25688#444: *32 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:49 [error] 25688#444: *39 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:51 [error] 25688#444: *39 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:51 [error] 25688#444: *39 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:53 [error] 25688#444: *39 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/22 15:12:53 [error] 25688#444: *39 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/22 15:12:53 [error] 25688#444: *39 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/22 15:12:53 [error] 25688#444: *39 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/22 15:12:54 [error] 25688#444: *39 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:12:54 [error] 25688#444: *39 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:29:51 [error] 25688#444: *59 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/22 15:29:53 [error] 25688#444: *59 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
